Family,Category,Stroke,Classifications,Keywords,Styles,Variable Axes,Subsets,Designers,Popularity Rank,Trending Rank,Is Noto,Date Added,Last Modified,Google Fonts URL
ABeeZee,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque italic english western european extended-latin european well-known common,400 | 400i,,latin | latin-ext,Anja Meiners,103,389,No,2012-09-30,2025-09-08,https://fonts.google.com/specimen/ABeeZee
Abel,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european popular widely-used,400,,latin,MADType,87,635,No,2011-08-03,2025-05-30,https://fonts.google.com/specimen/Abel
Abhaya Libre,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european extended-latin european sinhala sri-lankan,400 | 500 | 600 | 700 | 800,,latin | latin-ext | sinhala,Mooniak,132,282,No,2016-08-30,2025-09-16,https://fonts.google.com/specimen/Abhaya+Libre
Aboreto,Display,,Display,bold decorative headline attention-grabbing creative expressive  headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Dominik Jáger,146,393,No,2022-05-26,2025-05-30,https://fonts.google.com/specimen/Aboreto
Abril Fatface,Display,Serif,Display,bold decorative headline attention-grabbing creative expressive transitional oldstyle didone headline hero decorative large-text attention english western european extended-latin european well-known common,400,,latin | latin-ext,TypeTogether,100,569,No,2011-08-31,2025-09-16,https://fonts.google.com/specimen/Abril+Fatface
Abyssinica SIL,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone ethiopic amharic english western european extended-latin european,400,,ethiopic | latin | latin-ext,SIL International,569,114,No,2016-01-20,2025-09-10,https://fonts.google.com/specimen/Abyssinica+SIL
Aclonica,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european extended-latin european,400,,latin | latin-ext,Astigmatic,639,1635,No,2011-04-27,2025-09-08,https://fonts.google.com/specimen/Aclonica
Acme,Sans Serif,Sans Serif,Display,clean modern minimal professional readable neutral geometric humanist grotesque headline hero decorative large-text attention english western european well-known common,400,,latin,Juan Pablo del Peral | HT Fonts,142,311,No,2011-12-19,2026-06-30,https://fonts.google.com/specimen/Acme
Actor,Sans Serif,Sans Serif,,clean modern minimal professional readable neutral geometric humanist grotesque english western european well-known common,400,,latin,Thomas Junold,178,1063,No,2011-08-03,2025-09-10,https://fonts.google.com/specimen/Actor
Adamina,Serif,Serif,,elegant traditional classic refined literary editorial transitional oldstyle didone english western european,400,,latin,Cyreal,125,130,No,2011-09-07,2025-09-16,https://fonts.google.com/specimen/Adamina
